"wage","educ","exper","black_ind","smsa_ind","region"
569.8,8,36,0,1,"NE"
555.56,12,26,0,0,"NE"
308.64,12,11,0,0,"NE"
474.83,16,18,0,0,"NE"
237.42,12,7,0,0,"NE"
302.59,12,4,0,0,"NE"
262.3,12,2,0,0,"NE"
430.03,8,40,0,0,"NE"
441.26,12,43,0,0,"NE"
261.16,9,43,0,0,"NE"
237.42,12,11,0,0,"NE"
1610.31,12,19,0,0,"NE"
1047.01,16,14,0,0,"NE"
949.67,17,17,0,0,"NE"
1020.89,18,17,0,0,"NE"
688.51,18,16,0,0,"NE"
664.77,16,6,0,1,"NE"
759.73,12,13,0,1,"NE"
641.03,12,16,0,1,"NE"
379.87,10,12,0,1,"NE"
246.91,10,18,0,1,"NE"
496.51,12,15,0,1,"NE"
651.11,8,33,0,0,"NE"
352.73,12,44,0,0,"NE"
712.25,12,39,0,0,"NE"
493.83,12,19,0,0,"NE"
474.83,14,46,0,0,"NE"
878.44,18,16,0,1,"NE"
1025.64,16,29,0,1,"NE"
356.13,14,4,0,1,"NE"
197.53,10,8,0,1,"NE"
641.03,13,27,0,0,"NE"
284.9,12,15,0,0,"NE"
493.83,12,6,0,0,"NE"
807.22,12,41,0,0,"NE"
1044.63,12,39,0,0,"NE"
346.63,14,28,0,1,"NE"
498.58,12,10,0,0,"NE"
261.16,12,22,0,0,"NE"
587.89,18,14,0,0,"NE"
569.8,12,29,0,0,"NE"
612.73,15,22,0,0,"NE"
227.92,12,27,0,0,"NE"
71.23,12,1,0,0,"NE"
1685.66,18,14,0,1,"NE"
949.67,17,17,0,1,"NE"
166.19,11,22,0,1,"NE"
593.54,14,18,0,1,"NE"
783.48,16,20,0,1,"NE"
902.18,12,16,0,1,"NE"
427.35,12,14,0,1,"NE"
783.48,12,25,0,1,"NE"
308.64,13,-1,0,1,"NE"
688.51,12,17,0,0,"NE"
302.47,12,28,0,0,"NE"
617.28,12,20,0,0,"NE"
641.03,14,20,0,0,"NE"
202.47,16,17,0,0,"NE"
546.06,12,9,0,0,"NE"
782.9,12,18,0,0,"NE"
854.7,14,20,0,0,"NE"
759.73,16,17,0,0,"NE"
661.38,14,-1,0,0,"NE"
332.38,15,3,0,0,"NE"
735.49,5,37,0,0,"NE"
664.77,10,7,0,0,"NE"
688.51,12,36,0,0,"NE"
637.71,12,38,0,0,"NE"
410.73,14,18,0,0,"NE"
249.29,14,25,0,0,"NE"
209.88,12,26,0,0,"NE"
504.27,13,24,0,0,"NE"
269.44,9,29,0,0,"NE"
759.73,8,43,0,0,"NE"
338.32,12,24,0,0,"NE"
807.22,12,37,0,0,"NE"
332.38,12,20,0,0,"NE"
712.25,16,11,0,1,"NE"
846.98,18,15,0,0,"NE"
707.5,13,28,0,0,"NE"
653.59,16,36,0,0,"NE"
391.74,12,14,0,0,"NE"
395.06,14,2,0,0,"NE"
378.09,12,0,0,0,"NE"
379.87,12,12,0,0,"NE"
256.41,12,20,0,0,"NE"
318,12,27,0,0,"NE"
522.32,12,17,0,0,"NE"
284.9,12,6,0,0,"NE"
254.63,16,3,0,0,"NE"
458.21,16,6,0,0,"NE"
142.45,12,11,0,0,"NE"
664.77,15,20,0,0,"NE"
997.15,16,17,0,1,"NE"
474.83,16,1,0,1,"NE"
432.1,12,19,0,1,"NE"
593.54,16,9,0,1,"NE"
402.68,8,47,0,0,"NE"
474.36,12,14,0,0,"NE"
356.13,12,8,0,0,"NE"
186.45,8,9,0,1,"NE"
581.67,17,24,0,0,"NE"
338.9,14,14,0,0,"NE"
541.31,15,23,0,0,"NE"
546.06,12,19,0,0,"NE"
189.93,12,16,0,0,"NE"
712.25,16,14,0,0,"NE"
451.09,12,3,0,0,"NE"
379.87,16,18,0,0,"NE"
284.9,12,8,0,0,"NE"
626.78,18,11,0,0,"NE"
1590.69,18,23,0,0,"NE"
374.53,9,40,0,0,"NE"
807.22,12,19,0,0,"NE"
158.25,13,18,0,0,"NE"
997.15,12,8,0,0,"NE"
925.93,12,11,0,0,"NE"
830.96,12,10,0,0,"NE"
439.22,12,11,0,1,"NE"
498.58,12,7,0,1,"NE"
493.83,11,45,0,0,"NE"
332.38,15,18,0,0,"NE"
166.19,18,16,0,0,"NE"
261.16,12,6,0,1,"NE"
207.82,8,55,0,0,"NE"
334.36,12,38,0,0,"NE"
498.53,15,19,0,0,"NE"
322.06,8,35,0,1,"NE"
807.22,14,5,0,1,"NE"
474.83,12,14,0,1,"NE"
629.39,16,11,0,1,"NE"
377.49,9,20,0,1,"NE"
587.89,16,19,0,1,"NE"
997.15,16,19,0,1,"NE"
474.83,14,5,0,1,"NE"
403.61,13,12,0,1,"NE"
569.8,13,5,0,0,"NE"
878.44,14,24,0,0,"NE"
593.54,12,48,0,0,"NE"
484.14,12,21,0,1,"NE"
617.28,10,35,0,1,"NE"
1187.08,16,19,0,1,"NE"
878.44,12,35,0,1,"NE"
593.54,12,7,0,1,"NE"
712.25,13,32,0,0,"NE"
617.28,8,44,0,0,"NE"
320.51,16,8,0,0,"NE"
427.35,10,10,0,0,"NE"
546.06,16,12,0,0,"NE"
422.08,10,43,0,0,"NE"
475.64,8,44,0,1,"NE"
213.68,16,8,0,0,"NE"
246.91,16,4,0,0,"NE"
185.19,12,5,0,0,"NE"
409.54,16,19,0,0,"NE"
303.03,18,33,0,0,"NE"
493.83,12,16,0,0,"NE"
593.54,10,12,0,0,"NE"
118.71,16,1,0,1,"NE"
682.57,18,20,0,1,"NE"
1115.86,18,17,0,1,"NE"
648.46,13,26,0,1,"NE"
354.94,12,4,0,1,"NE"
370.37,10,8,0,0,"NE"
569.8,12,9,0,0,"NE"
673.4,16,24,0,1,"NE"
807.22,14,19,0,1,"NE"
997.15,14,28,0,0,"NE"
691.38,12,16,0,0,"NE"
498.58,12,7,0,0,"NE"
522.32,12,34,0,1,"NE"
420.23,12,8,0,1,"NE"
415.48,12,5,0,1,"NE"
305.27,12,9,0,1,"NE"
308.95,13,33,0,1,"NE"
1471.89,12,1,0,1,"NE"
720.16,12,21,0,0,"NE"
439.22,12,9,0,0,"NE"
735.99,12,10,0,0,"NE"
805.15,12,29,0,0,"NE"
1608.88,18,38,0,0,"NE"
830.96,12,12,0,0,"NE"
448.72,12,4,0,0,"NE"
712.25,12,22,0,1,"NE"
949.67,12,38,0,1,"NE"
439.22,12,19,0,1,"NE"
771.6,12,17,0,1,"NE"
478.4,12,18,0,1,"NE"
1185.19,12,24,0,1,"NE"
1068.38,17,4,0,1,"NE"
474.83,13,8,0,1,"NE"
434.22,11,48,0,1,"NE"
363.25,12,5,0,1,"NE"
498.58,12,36,0,1,"NE"
1305.79,12,13,0,1,"NE"
451.09,12,10,0,1,"NE"
593.54,16,10,0,1,"NE"
555.56,9,33,0,1,"NE"
629.88,14,15,0,1,"NE"
479.77,12,38,0,0,"NE"
854.7,17,25,0,0,"NE"
546.06,14,15,0,0,"NE"
338.32,13,9,0,0,"NE"
925.93,16,9,0,0,"NE"
356.13,12,10,0,0,"NE"
1208.85,12,18,0,1,"NE"
1139.6,14,29,0,1,"NE"
498.58,10,7,0,1,"NE"
546.06,14,3,0,0,"NE"
1543.21,12,28,0,1,"NE"
617.28,16,2,0,1,"NE"
807.22,16,12,0,1,"NE"
891.07,16,4,0,1,"NE"
538.94,16,4,0,1,"NE"
944.92,12,11,0,1,"NE"
1187.08,7,33,0,1,"NE"
854.7,8,24,0,1,"NE"
493.83,11,24,0,1,"NE"
783.48,14,16,0,1,"NE"
624.41,16,7,0,1,"NE"
1092.12,16,17,0,1,"NE"
688.51,16,10,0,1,"NE"
498.58,14,6,0,1,"NE"
676.64,16,10,0,1,"NE"
432.1,13,2,0,1,"NE"
1507.6,17,20,0,1,"NE"
233.99,12,1,0,1,"NE"
1115.86,18,9,0,1,"NE"
423.63,12,7,0,1,"NE"
949.67,18,8,0,1,"NE"
586.42,13,4,0,1,"NE"
296.77,12,28,0,1,"NE"
1305.79,12,19,0,1,"NE"
642.21,12,11,0,1,"NE"
1371.74,17,7,0,1,"NE"
830.96,17,9,0,1,"NE"
498.58,2,14,0,1,"NE"
997.15,12,20,0,1,"NE"
213.68,12,17,0,1,"NE"
1305.79,16,6,0,1,"NE"
498.58,14,7,0,1,"NE"
569.8,17,8,0,1,"NE"
474.83,16,12,0,1,"NE"
712.25,16,11,0,1,"NE"
949.67,17,9,0,1,"NE"
415.48,12,27,0,1,"NE"
664.77,17,8,0,1,"NE"
1167.62,14,24,0,1,"NE"
316.87,12,0,0,1,"NE"
451.09,12,7,0,0,"NE"
356.13,10,40,0,0,"NE"
569.8,12,31,0,0,"NE"
308.64,12,2,0,0,"NE"
733.62,16,34,0,0,"NE"
830.96,12,22,0,0,"NE"
902.18,6,42,0,0,"NE"
593.54,12,12,0,0,"NE"
222.22,11,1,0,0,"NE"
286.76,12,3,0,0,"NE"
434.33,11,15,0,0,"NE"
322.72,8,23,0,0,"NE"
332.38,12,5,0,0,"NE"
296.77,12,4,0,0,"NE"
218.42,12,4,0,0,"NE"
636.28,14,13,0,0,"NE"
546.06,9,37,0,0,"NE"
700.38,14,7,0,0,"NE"
546.06,12,15,0,1,"NE"
451.09,14,4,0,1,"NE"
451.09,12,12,0,0,"NE"
1241.69,16,22,0,1,"NE"
321.5,15,1,0,1,"NE"
807.22,12,4,0,1,"NE"
692.81,16,13,0,1,"NE"
474.83,18,9,0,1,"NE"
379.87,10,40,0,1,"NE"
617.28,12,39,0,1,"NE"
498.58,12,41,0,1,"NE"
712.25,8,44,0,1,"NE"
569.8,8,40,0,1,"NE"
821.46,16,8,0,1,"NE"
522.32,12,3,0,1,"NE"
522.32,12,8,0,1,"NE"
522.32,12,5,0,1,"NE"
508.07,14,14,0,1,"NE"
830.96,12,49,0,1,"NE"
712.25,13,6,0,1,"NE"
1185.19,12,11,0,1,"NE"
641.03,12,11,0,1,"NE"
807.41,18,5,0,0,"NE"
973.41,18,23,0,1,"NE"
756.58,16,12,0,0,"NE"
641.03,14,24,0,0,"NE"
821.39,13,35,0,0,"NE"
351.08,12,2,0,0,"NE"
356.13,8,9,0,1,"NE"
712.25,18,2,0,1,"NE"
796.51,16,14,0,1,"NE"
728.4,16,3,0,1,"NE"
569.8,15,4,0,1,"NE"
820.62,14,13,0,1,"NE"
854.7,13,8,0,1,"NE"
902.18,14,10,0,1,"NE"
1020.89,16,18,0,1,"NE"
688.51,16,36,0,1,"NE"
593.54,12,10,0,0,"NE"
472.44,11,20,0,0,"NE"
457.67,12,25,0,0,"NE"
878.44,12,15,0,0,"NE"
452.49,11,14,0,0,"NE"
546.06,13,27,0,0,"NE"
310.28,10,27,0,0,"NE"
569.8,12,7,0,1,"NE"
807.22,16,3,0,1,"NE"
830.96,16,10,0,1,"NE"
807.22,14,29,0,1,"NE"
92.59,12,25,0,1,"NE"
546.06,14,9,0,1,"NE"
830.96,12,7,0,1,"NE"
759.73,14,29,0,1,"NE"
617.28,14,-1,0,1,"NE"
1471.98,16,37,0,1,"NE"
1163.34,14,27,0,1,"NE"
241.55,17,13,0,1,"NE"
759.73,12,17,0,0,"NE"
1128.75,12,34,0,0,"NE"
757.58,16,7,0,0,"NE"
180.04,12,2,0,0,"NE"
607.05,7,41,0,0,"NE"
427.35,14,16,0,0,"NE"
308.64,14,-1,0,0,"NE"
2029.91,14,18,0,1,"NE"
900.21,14,19,0,0,"NE"
735.99,12,20,0,0,"NE"
546.06,16,2,0,0,"NE"
403.61,11,27,0,0,"NE"
688.51,12,11,0,0,"NE"
237.42,18,15,0,0,"NE"
712.25,12,5,0,0,"NE"
385.8,11,2,0,0,"NE"
1210.83,12,16,0,1,"NE"
1495.73,18,20,0,1,"NE"
94.97,8,14,0,1,"NE"
467.71,12,12,0,0,"NE"
1187.08,16,33,0,0,"NE"
422.6,14,17,0,0,"NE"
997.15,14,16,0,0,"NE"
949.67,16,38,0,1,"NE"
1234.57,15,4,0,1,"NE"
712.25,12,6,0,1,"NE"
937.1,12,23,0,1,"NE"
534.19,16,3,0,1,"NE"
641.03,14,13,0,1,"NE"
593.54,14,11,0,1,"NE"
890.41,12,32,0,0,"NE"
536.89,12,42,0,0,"NE"
593.54,8,32,0,1,"NE"
370.37,12,25,0,1,"NE"
344.25,14,1,0,1,"NE"
237.42,12,4,0,1,"NE"
593.54,14,16,0,1,"NE"
280.15,12,31,0,1,"NE"
973.41,12,44,0,1,"NE"
1127.73,17,15,0,1,"NE"
1163.34,12,17,0,1,"NE"
735.99,16,18,0,1,"NE"
332.38,12,3,0,0,"NE"
556.77,10,43,0,0,"NE"
259.26,9,11,0,0,"NE"
274.35,10,8,0,1,"NE"
296.3,10,41,0,1,"NE"
641.03,12,12,0,0,"NE"
712.25,16,16,0,0,"NE"
407.31,8,45,0,0,"NE"
222.22,10,25,0,0,"NE"
130.58,8,38,0,0,"NE"
284.9,8,46,0,0,"NE"
399.42,12,23,0,0,"NE"
315.74,12,3,0,0,"NE"
688.51,12,12,0,0,"NE"
379.87,16,9,0,0,"NE"
580.97,16,-1,0,0,"NE"
419.75,18,41,0,0,"NE"
427.35,12,12,0,0,"NE"
712.25,12,12,0,0,"NE"
448.72,16,20,0,0,"NE"
997.15,14,13,0,0,"NE"
874.49,16,16,0,0,"NE"
686.73,10,17,0,0,"NE"
166.19,9,8,0,0,"NE"
1234.57,14,16,0,1,"NE"
451.09,12,15,0,1,"NE"
493.83,12,16,0,0,"NE"
401.23,12,8,0,0,"NE"
500.95,14,24,0,0,"NE"
617.28,12,12,0,0,"NE"
293.21,12,2,0,0,"NE"
3600.82,18,27,0,1,"NE"
474.83,16,4,0,1,"NE"
471.79,12,4,0,1,"NE"
1816.24,16,30,0,1,"NE"
1448.24,13,32,0,1,"NE"
356.13,12,1,0,1,"NE"
474.83,12,4,0,1,"NE"
925.93,6,33,0,0,"NE"
522.32,18,32,0,0,"NE"
517.19,12,26,0,1,"NE"
712.25,9,16,0,1,"NE"
776.64,12,21,0,1,"NE"
854.7,12,13,0,1,"NE"
584.05,12,14,0,1,"NE"
657.64,12,34,0,1,"NE"
174.85,12,0,0,1,"NE"
819.09,17,3,0,0,"NE"
522.32,12,15,0,0,"NE"
811.32,12,17,0,1,"NE"
427.35,17,2,0,1,"NE"
783.48,17,14,0,1,"NE"
451.09,15,19,0,0,"NE"
1044.63,12,26,0,1,"NE"
1139.6,18,13,0,1,"NE"
206.55,12,0,0,1,"NE"
1115.86,18,26,0,1,"NE"
458.55,16,10,0,1,"NE"
628.82,13,17,0,1,"NE"
524.69,12,22,0,1,"NE"
707.5,12,24,0,0,"NE"
474.83,12,14,0,0,"NE"
830.96,16,16,0,0,"NE"
688.51,16,3,0,0,"NE"
352.73,12,16,0,1,"NE"
783.48,14,27,0,1,"NE"
854.7,12,4,0,0,"NE"
498.58,10,37,0,0,"NE"
1270.18,16,22,0,0,"NE"
745.01,18,21,0,0,"NE"
627.57,15,-1,0,0,"NE"
356.13,12,13,0,0,"NE"
314.69,18,11,0,0,"NE"
385.3,8,47,0,0,"NE"
166.19,11,17,0,0,"NE"
641.03,16,15,0,0,"NE"
436.59,14,8,0,0,"NE"
222.22,12,48,0,1,"NE"
997.15,12,31,0,1,"NE"
474.83,11,14,0,1,"NE"
451.09,12,17,0,0,"NE"
712.25,12,9,0,0,"NE"
366.74,13,15,0,0,"NE"
336.7,14,19,0,0,"NE"
213.58,12,48,0,0,"NE"
394.11,12,6,0,0,"NE"
712.25,13,13,0,1,"NE"
902.18,12,17,0,0,"NE"
1358.02,14,36,0,0,"NE"
461.49,12,4,0,1,"NE"
636.02,12,40,0,0,"NE"
510.45,15,19,0,1,"NE"
510.45,14,5,0,1,"NE"
276.95,14,19,0,0,"NE"
666.67,12,22,0,1,"NE"
712.25,16,18,0,0,"NE"
766.86,18,15,0,0,"NE"
474.83,12,10,0,0,"NE"
427.35,12,27,0,0,"NE"
410.49,9,38,0,0,"NE"
493.83,8,32,0,0,"NE"
942.55,18,27,0,0,"NE"
522.32,16,14,0,0,"NE"
522.32,12,10,0,0,"NE"
338.9,12,2,0,0,"NE"
1899.34,16,29,0,0,"NE"
997.63,16,11,0,1,"NE"
617.28,12,17,0,1,"NE"
925.93,12,41,0,1,"NE"
854.7,12,40,0,0,"NE"
617.28,16,-1,0,0,"NE"
754.99,12,17,0,0,"NE"
427.35,18,19,0,1,"NE"
497.01,18,12,0,1,"NE"
439.22,12,17,0,0,"NE"
1305.79,12,28,0,0,"NE"
593.54,12,9,0,1,"NE"
394.11,16,8,0,1,"NE"
365.73,13,21,0,0,"NE"
724.51,18,19,0,0,"NE"
496.01,8,33,0,0,"NE"
90.22,12,43,0,0,"NE"
441.36,14,25,0,0,"NE"
973.41,12,22,0,0,"NE"
712.25,14,10,0,0,"NE"
182.5,13,18,0,0,"NE"
740.74,17,15,0,0,"NE"
411.7,12,19,0,0,"NE"
178.06,16,3,0,0,"NE"
107.19,16,3,0,0,"NE"
498.58,12,34,0,0,"NE"
356.13,14,8,0,0,"NE"
641.03,16,17,0,0,"NE"
2374.15,16,8,0,0,"NE"
216.05,15,17,0,0,"NE"
1020.29,18,2,0,0,"NE"
261.16,16,3,0,0,"NE"
712.25,18,14,0,0,"NE"
522.32,10,26,0,0,"NE"
546.06,16,37,0,0,"NE"
617.28,18,16,0,0,"NE"
474.83,11,15,0,0,"NE"
498.58,18,21,0,0,"NE"
498.58,14,4,0,0,"NE"
439.22,14,2,0,0,"NE"
498.58,12,31,0,0,"NE"
308.64,12,6,0,0,"NE"
474.83,12,4,0,0,"NE"
498.58,14,6,0,1,"NE"
498.58,14,5,0,1,"NE"
432.1,18,10,0,1,"NE"
1495.73,16,32,0,1,"NE"
302.34,14,2,0,1,"NE"
1152.8,18,2,0,1,"NE"
1068.38,12,5,0,1,"NE"
395.47,12,15,0,0,"NE"
345.68,12,8,0,0,"NE"
1044.63,17,32,0,0,"NE"
427.35,12,15,0,0,"NE"
648.72,18,26,0,0,"NE"
444.44,18,23,0,0,"NE"
569.8,9,43,0,0,"NE"
403.61,10,31,0,0,"NE"
356.13,12,28,0,0,"NE"
244.94,12,5,0,0,"NE"
237.42,12,6,0,0,"NE"
545.47,12,27,0,0,"NE"
284.9,12,18,0,0,"NE"
617.28,12,15,0,0,"NE"
914.06,18,11,0,0,"NE"
356.13,18,10,0,0,"NE"
712.25,12,11,0,0,"NE"
712.25,12,12,0,0,"NE"
664.77,9,32,0,0,"NE"
997.15,16,9,0,0,"NE"
281.8,16,15,0,0,"NE"
346.21,7,27,0,0,"NE"
356.13,12,10,0,0,"NE"
213.68,12,29,0,0,"NE"
403.61,7,38,0,1,"NE"
712.25,16,3,0,1,"NE"
646.33,15,33,0,1,"NE"
546.06,12,23,0,1,"NE"
462.96,11,4,0,1,"NE"
186.89,11,20,0,1,"NE"
284.9,10,42,0,1,"NE"
543.54,12,11,0,1,"NE"
213.24,14,21,0,0,"NE"
617.28,12,3,0,0,"NE"
2541.76,12,27,0,0,"NE"
652.9,12,22,0,1,"NE"
593.54,12,7,0,1,"NE"
664.77,12,12,0,1,"NE"
914.06,14,12,0,1,"NE"
641.03,10,44,0,0,"NE"
308.64,12,4,0,0,"NE"
515.33,12,42,0,0,"NE"
474.68,11,6,0,0,"NE"
2184.24,14,21,0,0,"NE"
252.3,8,24,0,0,"NE"
379.87,16,13,0,0,"NE"
709.22,18,28,0,0,"NE"
759.73,16,33,0,0,"NE"
474.83,18,28,0,0,"NE"
555.56,16,38,0,0,"NE"
830.96,16,30,0,0,"NE"
569.8,15,0,0,0,"NE"
1187.08,18,43,0,0,"NE"
339.27,10,37,0,0,"NE"
498.58,12,8,0,1,"NE"
200.83,9,12,0,1,"NE"
320.22,12,14,0,1,"NE"
278.42,12,5,0,1,"NE"
493.83,16,0,0,1,"NE"
705.13,18,4,0,1,"NE"
1115.86,16,19,0,1,"NE"
764.48,14,20,0,0,"NE"
427.35,12,19,0,0,"NE"
436.25,2,24,0,0,"NE"
237.42,18,21,0,0,"NE"
737.93,12,30,0,0,"NE"
949.67,12,18,0,0,"NE"
320.13,12,4,0,0,"NE"
339.51,12,15,1,0,"NE"
534.19,12,11,0,0,"NE"
569.8,14,39,0,0,"NE"
332.38,16,14,0,0,"NE"
261.16,14,10,0,0,"NE"
379.87,12,9,0,0,"NE"
439.22,9,10,0,0,"NE"
641.03,18,15,0,0,"NE"
379.87,16,11,0,0,"NE"
522.32,12,24,0,0,"NE"
332.38,11,2,0,0,"NE"
332.38,12,44,0,0,"NE"
142.45,12,1,0,0,"NE"
197.53,13,19,0,0,"NE"
332.38,13,5,0,0,"NE"
759.73,12,38,0,1,"NE"
261.16,13,12,0,1,"NE"
427.35,12,16,0,0,"NE"
330.01,12,14,0,0,"NE"
1115.86,16,24,0,0,"NE"
925.93,17,29,0,1,"NE"
320.51,12,2,0,1,"NE"
1139.6,12,28,0,1,"NE"
759.73,14,22,0,1,"NE"
287.04,14,0,0,0,"NE"
222.22,12,0,0,0,"NE"
617.28,11,15,0,0,"NE"
423.17,12,19,0,0,"NE"
830.96,12,27,0,0,"NE"
415.48,12,12,0,0,"NE"
854.7,12,8,0,0,"NE"
405.03,12,13,0,0,"NE"
676.64,13,32,0,0,"NE"
641.03,12,10,0,0,"NE"
604.49,12,35,0,0,"NE"
593.54,8,41,0,0,"NE"
317.92,13,21,0,1,"NE"
59.35,17,13,0,1,"NE"
759.73,18,8,0,1,"NE"
653.89,18,15,0,0,"NE"
427.35,13,12,0,1,"NE"
712.25,13,26,0,1,"NE"
396.83,15,-1,0,1,"NE"
735.99,17,19,0,1,"NE"
366.26,13,22,0,1,"NE"
2374.15,18,15,0,1,"NE"
229.39,13,1,0,0,"NE"
883.19,15,22,0,0,"NE"
902.18,12,8,0,0,"NE"
617.28,15,4,0,0,"NE"
460.75,17,4,0,0,"NE"
474.83,18,9,0,0,"NE"
427.35,18,3,0,0,"NE"
1022.01,13,33,0,0,"NE"
474.83,16,13,0,0,"NE"
432.1,12,6,0,0,"NE"
440.95,10,44,0,0,"NE"
619.66,16,15,0,0,"NE"
451.09,14,5,0,0,"NE"
427.35,12,22,0,0,"NE"
498.58,12,2,0,0,"NE"
427.35,12,11,0,0,"NE"
327.43,12,25,0,0,"NE"
474.83,14,22,0,0,"NE"
735.99,12,24,0,0,"NE"
97.34,12,3,0,0,"NE"
356.13,14,34,0,0,"NE"
332.38,12,38,0,0,"NE"
932.41,15,38,0,0,"NE"
728.87,16,13,0,0,"NE"
293.94,9,22,0,0,"NE"
498.58,12,16,0,0,"NE"
1646.09,13,20,0,0,"NE"
189.93,14,29,0,1,"NE"
628.32,16,19,0,1,"NE"
866.57,12,22,0,1,"NE"
163.58,12,0,0,1,"NE"
189.93,12,4,0,1,"NE"
403.61,14,10,0,1,"NE"
433.51,12,22,0,0,"NE"
532.56,12,12,0,1,"NE"
427.35,12,21,0,1,"NE"
700.38,12,7,0,1,"NE"
1353.28,16,25,0,1,"NE"
379.87,12,7,0,1,"NE"
666.67,18,4,0,1,"NE"
664.77,16,11,0,1,"NE"
692.78,12,26,0,1,"NE"
2374.15,18,24,0,1,"NE"
949.67,16,6,0,1,"NE"
1899.34,14,22,0,1,"NE"
1424.5,17,29,0,1,"NE"
1661.92,16,20,0,1,"NE"
1756.89,17,19,0,1,"NE"
830.96,11,47,1,1,"NE"
900.21,18,6,0,1,"NE"
949.67,18,10,0,1,"NE"
332.38,16,1,0,1,"NE"
344.25,7,40,0,1,"NE"
277.78,12,36,0,1,"NE"
1020.89,14,29,1,1,"NE"
1080.25,12,35,1,1,"NE"
830.96,16,11,0,1,"NE"
474.83,16,42,0,1,"NE"
360.08,18,25,0,1,"NE"
1127.21,12,12,0,1,"NE"
807.22,18,8,0,1,"NE"
296.3,16,15,0,1,"NE"
356.13,17,4,0,1,"NE"
261.16,12,5,0,1,"NE"
569.8,12,28,0,1,"NE"
2136.75,18,17,0,1,"NE"
1163.34,18,18,0,1,"NE"
403.61,16,4,0,1,"NE"
2018.04,18,9,0,1,"NE"
902.18,16,9,0,1,"NE"
388.62,18,6,0,1,"NE"
1590.69,16,18,0,1,"NE"
1946.82,16,15,0,1,"NE"
451.09,12,5,0,1,"NE"
949.67,18,32,0,1,"NE"
415.48,16,14,0,1,"NE"
712.25,8,48,0,1,"NE"
359.26,12,11,0,1,"NE"
546.06,11,11,0,1,"NE"
452.67,12,2,0,1,"NE"
168.83,18,43,0,1,"NE"
902.18,15,15,0,1,"NE"
830.96,18,26,0,1,"NE"
593.54,13,13,0,1,"NE"
462.96,12,30,0,1,"NE"
919.36,9,33,0,1,"NE"
522.32,14,6,0,1,"NE"
997.15,14,23,0,1,"NE"
451.09,12,33,0,1,"NE"
1522.63,16,20,0,1,"NE"
427.35,12,9,0,1,"NE"
740.74,16,5,0,1,"NE"
326.97,4,32,0,1,"NE"
783.48,12,33,0,1,"NE"
522.32,17,33,0,1,"NE"
1543.21,18,9,0,1,"NE"
1044.63,14,8,0,1,"NE"
949.67,18,15,0,1,"NE"
546.06,10,40,0,1,"NE"
1032.76,18,10,0,1,"NE"
997.15,18,19,0,1,"NE"
759.73,12,28,0,1,"NE"
712.25,12,21,0,1,"NE"
1661.92,16,11,0,1,"NE"
