"CITY","MORTALITY","PRECIP","HUMIDITY","JANTEMP","JULYTEMP","OVER65","HOUSE","EDUC","SOUND","DENSITY","NONWHITE","WHITECOL","POOR","HC","NOX","SO2"
"York, PA",911.8170166015625,42,54,33,76,9.699999809265137,3.2200000286102295,9,76.19999694824219,9699,4.800000190734863,42.20000076293945,14.5,8,8,49
"Utica, NY",912.2020263671875,40,60,23,71,11.300000190734863,3.2799999713897705,10.300000190734863,73.80000305175781,1671,2.5,47.400001525878906,13.5,5,2,11
"Canton, OH",912.3469848632812,36,59,27,72,9.5,3.359999895095825,10.699999809265137,79.30000305175781,4213,6.699999809265137,41,13.199999809265137,12,7,20
"Kansas City, MO",919.72900390625,35,55,31,81,9.199999809265137,3.0999999046325684,12,78.30000305175781,3262,12.600000381469727,48.599998474121094,13.899999618530273,7,4,4
"Akron, OH",921.8699951171875,36,59,27,71,8.100000381469727,3.3399999141693115,11.399999618530273,81.5,3243,8.800000190734863,42.599998474121094,11.699999809265137,21,15,59
"New Haven, CT",923.2340087890625,46,58,30,72,10.199999809265137,3.1600000858306885,11.300000190734863,83.19999694824219,3327,8.800000190734863,45.29999923706055,12.199999809265137,4,3,8
"Milwaukee, WI",929.1500244140625,30,64,20,69,8.800000190734863,3.259999990463257,11.100000381469727,85.4000015258789,2934,5.800000190734863,44,9.399999618530273,33,23,125
"Boston, MA",934.7000122070312,43,56,30,74,10.899999618530273,3.2300000190734863,12.100000381469727,83.9000015258789,4679,3.5,49.20000076293945,11.300000190734863,21,32,62
"Dayton, OH",936.2340087890625,36,58,30,75,7.5,3.3499999046325684,11.399999618530273,81.9000015258789,4029,12.399999618530273,44,12,6,4,16
"Providence, RI",938.5,42,56,29,72,10.699999809265137,3.190000057220459,10.100000381469727,79.5,3508,2.200000047683716,38.79999923706055,15.699999809265137,6,4,18
"Flint, MI",941.1810302734375,30,61,24,72,6.5,3.5299999713897705,10.800000190734863,79.5,3694,13.100000381469727,33.79999923706055,12.399999618530273,11,4,11
"Reading, PA",946.1849975585938,41,54,33,77,11.199999809265137,3.0799999237060547,9.600000381469727,79.9000015258789,4843,2.700000047683716,38.599998474121094,14.100000381469727,11,11,89
"Syracuse, NY",950.6719970703125,38,61,24,72,9.800000190734863,3.3399999141693115,11.399999618530273,78,4923,3.799999952316284,50.5,11.100000381469727,8,5,25
"Houston, TX",952.5289916992188,46,59,55,84,5.599999904632568,3.3499999046325684,11.399999618530273,79.69999694824219,2647,21,46.900001525878906,17.899999618530273,6,5,1
"Saint Louis, MO",953.5599975585938,34,57,32,79,9.300000190734863,3.2300000190734863,9.699999809265137,76.80000305175781,5160,17.200000762939453,45.099998474121094,15.300000190734863,31,15,68
"Youngstown, OH",954.4420166015625,38,58,28,72,8.899999618530273,3.4800000190734863,10.699999809265137,79.80000305175781,3451,11.699999809265137,37.5,13,14,13,39
"Columbus, OH",958.8389892578125,37,58,31,75,8,3.259999990463257,11.899999618530273,78.4000015258789,4259,13.100000381469727,49.599998474121094,13.899999618530273,23,9,15
"Detroit, MI",959.2210083007812,31,59,27,74,7.199999809265137,3.440000057220459,10.800000190734863,87,4834,15.800000190734863,43.5,13.600000381469727,52,35,124
"Nashville, TN",961.0089721679688,45,56,40,80,8.300000190734863,3.319999933242798,10.100000381469727,70.30000305175781,2682,21,46.099998474121094,24.100000381469727,17,14,78
"Allentown, PA",962.35400390625,44,54,29,74,10.399999618530273,3.2100000381469727,9.800000190734863,81.5999984741211,4260,.800000011920929,39.400001525878906,12.399999618530273,6,6,33
"Washington, DC",967.802978515625,41,52,37,78,6.199999809265137,3.25,12.300000190734863,89.5,5308,25.899999618530273,59.70000076293945,10.300000190734863,65,28,102
"Indianapolis, IN",968.6649780273438,39,60,29,75,8.699999809265137,3.2300000190734863,11.399999618530273,78.5999984741211,4412,15.600000381469727,46.599998474121094,13.199999809265137,13,7,33
"Cincinnati, OH",970.4669799804688,40,57,34,77,9.199999809265137,3.2100000381469727,10.199999809265137,77,4101,13,45.70000076293945,15.100000381469727,26,26,146
"Greeensboro, NC",971.1220092773438,42,53,40,77,6.099999904632568,3.450000047683716,10.399999618530273,71.80000305175781,2269,22.700000762939453,41.400001525878906,19.5,8,3,5
"Toledo, OH",972.4639892578125,31,59,26,73,9.300000190734863,3.2200000286102295,10.699999809265137,81.30000305175781,3249,9.5,43.900001525878906,13.600000381469727,11,7,25
"Atlanta, GA",982.291015625,47,56,45,79,6.5,3.4100000858306885,11.100000381469727,77.5,3125,27.100000381469727,50.20000076293945,20.600000381469727,18,8,24
"Cleveland, OH",985.9500122070312,35,60,28,71,8.800000190734863,3.2899999618530273,11.100000381469727,86.30000305175781,3042,14.699999809265137,44.599998474121094,11.399999618530273,31,21,64
"Louisville, KY",989.2650146484375,30,57,35,71,8.300000190734863,3.369999885559082,9.899999618530273,77.4000015258789,4474,13.100000381469727,42.599998474121094,17.700000762939453,38,37,193
"Pittsburgh, PA",991.2899780273438,36,56,29,72,9.5,3.319999933242798,10.600000381469727,77.5999984741211,3437,8.100000381469727,45.5,13.800000190734863,45,59,263
"New York, NY",994.6480102539062,42,58,33,77,9.699999809265137,3.0299999713897705,10.699999809265137,83.5,7462,11.300000190734863,48.70000076293945,12.399999618530273,41,26,108
"Albany, NY",997.875,35,57,23,72,11.100000381469727,3.140000104904175,11,78.80000305175781,4281,3.5,50.70000076293945,14.399999618530273,8,10,39
"Buffalo, NY",1001.9019775390625,36,61,24,70,9,3.309999942779541,10.5,83.19999694824219,6582,8.100000381469727,42.5,12.600000381469727,18,12,37
"Wilmington, DE",1003.5020141601562,45,56,33,76,7.699999809265137,3.390000104904175,11.300000190734863,82.19999694824219,3152,12.100000381469727,47.29999923706055,10.899999618530273,14,11,42
"Memphis, TN",1006.489990234375,50,59,42,82,7.300000190734863,3.490000009536743,10.399999618530273,72.5,3497,36.70000076293945,43.29999923706055,26.399999618530273,15,18,34
"Philadelphia, PA",1015.0230102539062,42,54,32,76,9.100000381469727,3.319999933242798,10.5,87.5,6092,17.5,45.29999923706055,13.199999809265137,29,32,161
"Chattanooga, TN",1017.6129760742188,52,56,42,79,7.699999809265137,3.390000104904175,9.600000381469727,69.19999694824219,2302,22.200000762939453,41.29999923706055,24.200000762939453,18,8,27
"Chicago, IL",1024.885009765625,33,58,26,76,8.600000381469727,3.200000047683716,10.899999618530273,83.4000015258789,6122,16.299999237060547,44.900001525878906,10.699999809265137,88,63,278
"Richmond, VA",1025.501953125,44,53,39,78,8.199999809265137,3.319999933242798,11,79.9000015258789,3768,28.600000381469727,49.5,17.5,12,9,48
"Birmingham, AL",1030.3800048828125,53,54,45,80,7.699999809265137,3.450000047683716,10.199999809265137,66.80000305175781,3235,38.5,43.099998474121094,25.5,30,32,72
"Baltimore, MD",1071.2889404296875,43,55,35,77,7.599999904632568,3.440000057220459,9.600000381469727,84.5999984741211,6441,24.399999618530273,43.70000076293945,14.300000190734863,43,38,206
"New Orleans, LA",1113.0560302734375,54,62,54,81,7.400000095367432,3.359999895095825,9.699999809265137,72.80000305175781,3172,31.399999618530273,45.5,24.200000762939453,20,17,1
